H67_Cycle_Num,H67_Cycle_Life(%),H67_C_Rest_Start_Volt(V),H67_C_Rest_End_Volt(V),H67_D_Rest_Start_Volt(V),H67_D_Rest_End_Volt(V),H67_CC_Chg_Cur(A),H67_CC_Chg_Volt(V),H67_CC_Chg_CapaCity(Ah),H67_CC_Chg_Energy(Wh),H67_CC_Chg_Time(s),H67_CCCV_Chg_Cur(A),H67_CCCV_Chg_Volt(V),H67_CCCV_Chg_CapaCity(Ah),H67_CCCV_Chg_Energy(Wh),H67_CCCV_Chg_Time(s),H67_CV_Chg_Time(s),H67_CC_Dischg_Cur(A),H67_CC_Dischg_Volt(V),H67_CC_Dischg_CapaCity(Ah),H67_CC_Dischg_Energy(Wh),H67_CC_Dischg_Time(s),H67_Volt_CC_DChg_00s,H67_Volt_CC_DChg_10s,H67_Rin(ohm)
23.0,100.82236332739208,4.1979,4.1914,2.5973,3.1187,1.3995,4.1964,2.5512211666666667,9.696897972222224,6560.0,0.055799999999999995,4.1998,2.762345916666667,10.583546666666669,8233.0,1673.0,-2.7983000000000002,2.5,2.7608804166666667,9.89306238888889,3551.7000000000003,4.1102,4.0749,0.0126148018439765
24.0,100.81945810227673,4.1979,4.1914,2.6029,3.1166,1.401,4.1964,2.551242277777778,9.694429,6560.0,0.055799999999999995,4.1998,2.763788055555556,10.587032444444443,8252.300000000001,1692.300000000001,-2.7983000000000002,2.4984,2.760800861111112,9.892456777777776,3551.6000000000004,4.109,4.0749,0.012185970053246462
25.0,100.95773322488375,4.1976,4.1911,2.6081,3.102,1.3988,4.1964,2.555283388888889,9.710564222222219,6570.0,0.055799999999999995,4.1995,2.7631481388888885,10.58350775,8221.1,1651.1000000000004,-2.7986999999999997,2.4996,2.7645873333333335,9.910390555555555,3556.3,4.1121,4.0764,0.012755922392539497
26.0,101.069351081148,4.1979,4.1911,2.6044,3.089,1.4002000000000001,4.1967,2.5671975555555555,9.753146500000001,6600.0,0.055799999999999995,4.1995,2.76754,10.594506194444444,8204.2,1604.2000000000007,-2.7994,2.4984,2.767643833333333,9.92576541666667,3560.1000000000004,4.1111,4.0776,0.011966850039294163
27.0,101.13866362545862,4.1979,4.1914,2.5988,3.0797,1.4005999999999998,4.1967,2.575063888888889,9.78047675,6620.0,0.055,4.1998,2.7715700555555554,10.60572316666667,8210.5,1590.5,-2.7986999999999997,2.499,2.7695418611111116,9.935631972222222,3562.5,4.1121,4.0789,0.011862650516311109
28.0,101.17105221928108,4.1979,4.1914,2.597,3.0741,1.4005999999999998,4.1958,2.5751969444444445,9.777892722222225,6620.0,0.055799999999999995,4.1998,2.7723063888888886,10.605664305555557,8198.0,1578.0,-2.7986999999999997,2.4996,2.7704287777777776,9.940766944444444,3563.5,4.1139,4.0795,0.01229142101690062
29.0,101.19974537487198,4.1982,4.1914,2.5905,3.0695,1.3995,4.1961,2.5792069444444445,9.792690527777777,6630.0,0.055799999999999995,4.1995,2.7733102222222223,10.60786136111111,8183.200000000001,1553.2000000000007,-2.7986999999999997,2.499,2.7712145,9.9447135,3564.5,4.1152,4.0798,0.01264872976739204
30.0,101.16075408891416,4.1982,4.1914,2.5933,3.0735,1.4005999999999998,4.1961,2.5792339166666665,9.791436277777775,6630.0,0.055799999999999995,4.1998,2.7738642777777778,10.608816055555558,8190.700000000001,1560.7000000000007,-2.7986999999999997,2.4996,2.770146777777778,9.939564805555555,3563.2000000000003,4.1136,4.0795,0.012184228391753163
31.0,101.13802354269056,4.1979,4.192,2.6054,3.0769,1.4002000000000001,4.1967,2.579081583333333,9.792565388888889,6630.0,0.055799999999999995,4.1998,2.7736261666666664,10.609595166666667,8211.800000000001,1581.800000000001,-2.7986999999999997,2.4987,2.7695243333333335,9.936291111111112,3562.4,4.1145,4.0792,0.012612998892342676
32.0,100.14901350007594,4.1973,4.1908,2.6094,3.1628,1.4002000000000001,4.1967,2.547405583333333,9.66773983333333,6550.0,0.055799999999999995,4.1995,2.7690351111111116,10.598452944444443,8294.800000000001,1744.800000000001,-2.7986999999999997,2.4987,2.7424416666666667,9.808329,3528.3,4.1046,4.0677,0.013184692893128692
33.0,99.98674085283432,4.1973,4.1908,2.5936,3.1733,1.3995,4.1967,2.5077110555555553,9.536464305555555,6450.0,0.055799999999999995,4.1995,2.7440118611111113,10.528788138888887,8276.800000000001,1826.800000000001,-2.7983000000000002,2.4993,2.7379980555555563,9.78656563888889,3522.7000000000003,4.1024,4.0656,0.013150841582389446
34.0,99.80130349863256,4.1979,4.1908,2.6088,3.1879,1.3991,4.1964,2.4960496388888886,9.49331736111111,6420.0,0.055799999999999995,4.1995,2.7401807222222225,10.518526111111111,8310.0,1890.0,-2.7976,2.4993,2.732920111111111,9.76357911111111,3516.2000000000003,4.1003,4.0637,0.013082642264798387
35.0,99.90151246283249,4.1976,4.1905,2.6106,3.1764,1.3995,4.1967,2.484214833333333,9.45108861111111,6390.0,0.055799999999999995,4.1995,2.7350272777777778,10.50435711111111,8324.800000000001,1934.800000000001,-2.7979000000000003,2.4993,2.7356641944444444,9.765432472222225,3519.8,4.0978,4.0597,0.0136173558740484
36.0,100.66800802722626,4.1979,4.1914,2.6075,3.1119,1.4002000000000001,4.1964,2.5238787499999997,9.602549055555555,6490.0,0.055799999999999995,4.1998,2.7405825277777778,10.512632805555556,8190.8,1700.8000000000002,-2.7994,2.4993,2.756653611111112,9.875910138888889,3546.2000000000003,4.1108,4.0733,0.013395727655926459
37.0,100.6989703827414,4.1979,4.1914,2.592,3.1076,1.3995,4.1967,2.5513409722222224,9.693858888888888,6560.0,0.055799999999999995,4.1998,2.759981333333333,10.570088055555557,8222.0,1662.0,-2.7976,2.4993,2.757501472222222,9.88062247222222,3547.2000000000003,4.1096,4.0742,0.012653703174149305
38.0,100.3047980817318,4.1982,4.1911,2.6007,3.1442,1.4002000000000001,4.1967,2.5552691111111114,9.708455555555556,6570.0,0.055799999999999995,4.1998,2.760073138888889,10.568578222222222,8193.300000000001,1623.300000000001,-2.7983000000000002,2.4993,2.746707611111111,9.839352611111112,3533.5,4.1086,4.0752,0.011935818175320844
39.0,99.94159726578552,4.1976,4.1905,2.5995,3.169,1.4002000000000001,4.1964,2.511540861111111,9.547444861111112,6460.0,0.055799999999999995,4.1995,2.747367944444444,10.537795583333333,8288.1,1828.1000000000004,-2.7986999999999997,2.5,2.7367618611111113,9.783430249999999,3521.2000000000003,4.1021,4.0652,0.01318469289312901
40.0,99.71046043648916,4.1976,4.1905,2.6094,3.1866,1.3991,4.1964,2.499932555555556,9.507552527777777,6430.0,0.055799999999999995,4.1995,2.7389754722222226,10.51141586111111,8275.800000000001,1845.800000000001,-2.7979000000000003,2.4993,2.7304325,9.756328861111111,3513.1000000000004,4.1003,4.0643,0.0128667929518566
41.0,99.59173066217902,4.1976,4.1905,2.6054,3.1935,1.3991,4.1961,2.484108,9.450285083333334,6390.0,0.055799999999999995,4.1995,2.732542611111111,10.493573555555557,8288.800000000001,1898.800000000001,-2.7979000000000003,2.4993,2.72718125,9.7405735,3509.0,4.1,4.0615,0.013760320240180125
42.0,100.2637222156022,4.1976,4.1908,2.6054,3.1383,1.3988,4.1964,2.476138138888889,9.421733861111111,6370.0,0.055799999999999995,4.1995,2.7292200555555555,10.484543222222225,8288.4,1918.3999999999996,-2.7979000000000003,2.499,2.7455828055555562,9.823436166666667,3532.2000000000003,4.1028,4.0668,0.012866792951856918
43.0,100.49836377701216,4.1979,4.1914,2.597,3.1181,1.4002000000000001,4.1967,2.5395890277777777,9.65490877777778,6530.0,0.055,4.1998,2.7493032222222222,10.535648083333331,8194.9,1664.8999999999996,-2.7983000000000002,2.4993,2.752008138888889,9.857833055555556,3540.2000000000003,4.1083,4.073,0.0126148018439765
44.0,100.53661049759476,4.1979,4.1911,2.6023,3.1135,1.4002000000000001,4.1967,2.5436029444444443,9.665540805555557,6540.0,0.055799999999999995,4.1998,2.7533051666666664,10.54623363888889,8200.800000000001,1660.800000000001,-2.7994,2.4993,2.7530554722222225,9.862896444444445,3541.5,4.1077,4.0733,0.012288347503036597
45.0,99.77920086244607,4.1979,4.1908,2.5964,3.177,1.4005999999999998,4.1967,2.5357090833333333,9.63053238888889,6520.0,0.055799999999999995,4.1995,2.754231472222222,10.548231,8246.300000000001,1726.300000000001,-2.7979000000000003,2.4987,2.732314861111111,9.767071444444444,3515.4,4.1018,4.0665,0.012616605311126319
46.0,99.81672939190382,4.1976,4.1905,2.6038,3.1718,1.3995,4.1964,2.4920095555555553,9.47944086111111,6410.0,0.055799999999999995,4.1995,2.734044583333333,10.495866916666666,8261.2,1851.2000000000007,-2.7976,2.4993,2.733342527777778,9.77092775,3516.7000000000003,4.1006,4.0646,0.012868172719473688
47.0,99.83388989933265,4.1976,4.1905,2.6088,3.1705,1.4005999999999998,4.1964,2.4959470555555554,9.492351666666668,6420.0,0.055799999999999995,4.1995,2.735695833333333,10.499168527777778,8273.4,1853.3999999999996,-2.7976,2.4993,2.7338124444444443,9.77154163888889,3517.3,4.1006,4.0643,0.012975407492136036
48.0,99.63070571782892,4.1976,4.1905,2.5957,3.1826,1.3995,4.1967,2.4998716111111112,9.508521722222222,6430.0,0.055799999999999995,4.1998,2.735482277777778,10.497985194444443,8242.6,1812.6000000000004,-2.7979000000000003,2.499,2.7282485277777777,9.748848527777778,3510.2000000000003,4.1046,4.064,0.014510883162371608
49.0,100.36468284593704,4.1979,4.1911,2.6063,3.1191,1.3995,4.1961,2.5038567222222223,9.529833055555557,6440.0,0.055,4.1998,2.729984083333333,10.47948111111111,8182.000000000001,1742.000000000001,-2.7979000000000003,2.499,2.748347472222222,9.841136055555557,3535.6000000000004,4.1046,4.0705,0.012187712212730824
50.0,100.42831173929753,4.1979,4.1911,2.6063,3.1144,1.3995,4.1958,2.5356900833333333,9.63332086111111,6520.0,0.055799999999999995,4.1998,2.750537888888889,10.535604916666667,8192.5,1672.5,-2.7983000000000002,2.5,2.750089861111111,9.849800111111112,3537.8,4.1071,4.0718,0.012614801843976817
51.0,100.4652610496418,4.1976,4.1911,2.606,3.1091,1.4005999999999998,4.1967,2.539555305555556,9.64910436111111,6530.0,0.055799999999999995,4.1998,2.75150175,10.539221944444444,8193.300000000001,1663.300000000001,-2.7986999999999997,2.5,2.7511016666666666,9.854121027777776,3539.1000000000004,4.1074,4.0718,0.01272019151749045
52.0,99.61390329156832,4.1976,4.1905,2.593,3.1801,1.3995,4.1964,2.511831472222222,9.536947361111112,6460.0,0.055799999999999995,4.1995,2.751210972222222,10.542216388888889,8306.1,1846.1000000000004,-2.7986999999999997,2.499,2.727788416666667,9.745407472222224,3509.7000000000003,4.099,4.0625,0.013041769392932506
53.0,99.76109798276444,4.1973,4.1905,2.6026,3.1665,1.3995,4.1967,2.4880925,9.465423027777776,6400.0,0.055799999999999995,4.1995,2.729033805555556,10.477251638888887,8253.6,1853.6000000000004,-2.7979000000000003,2.4993,2.731819138888889,9.762942666666666,3514.8,4.0993,4.0628,0.013045498409521497
54.0,99.66609590421992,4.1976,4.1905,2.6041,3.1733,1.3995,4.1967,2.495909888888889,9.49151638888889,6420.0,0.055799999999999995,4.1995,2.733927611111111,10.491073972222223,8257.5,1837.5,-2.7979000000000003,2.4993,2.7292176388888887,9.752447916666666,3511.5,4.0993,4.0631,0.012938275134922623
55.0,99.88298353756824,4.1973,4.1905,2.605,3.1544,1.4005999999999998,4.1961,2.4880971944444443,9.462521500000001,6400.0,0.055799999999999995,4.1998,2.730817055555556,10.481812333333332,8255.6,1855.6000000000004,-2.7986999999999997,2.4993,2.735156805555556,9.772575972222224,3519.1000000000004,4.1024,4.0621,0.014399542644799453
56.0,100.35924062081698,4.1976,4.1911,2.5945,3.1132,1.3995,4.1964,2.519921444444445,9.58225625,6480.0,0.055799999999999995,4.1998,2.7382776944444447,10.49927763888889,8182.3,1702.3000000000002,-2.7983000000000002,2.5,2.748198444444444,9.842513277777778,3535.3,4.1096,4.0708,0.013865561233606176
57.0,100.36704232694898,4.1976,4.1911,2.6066,3.1132,1.4002000000000001,4.1961,2.535655388888889,9.633095305555557,6520.0,0.055799999999999995,4.1998,2.750393,10.53492038888889,8209.7,1689.7000000000007,-2.7983000000000002,2.5,2.748412083333333,9.843613166666666,3535.6000000000004,4.1068,4.0714,0.012650537826537574
58.0,99.9968797233049,4.1979,4.1914,2.597,3.147,1.4002000000000001,4.1958,2.535726888888889,9.632929166666669,6520.0,0.055799999999999995,4.1998,2.7507700833333333,10.536024555555557,8216.1,1696.1000000000004,-2.7976,2.4996,2.7382756944444444,9.803229222222223,3522.8,4.1062,4.0721,0.012189019159279547
59.0,99.80122539027576,4.1976,4.1905,2.6019,3.1584,1.3995,4.1964,2.499951888888889,9.502874722222225,6430.0,0.055799999999999995,4.1995,2.737680666666666,10.501227166666668,8258.5,1828.5,-2.7979000000000003,2.4993,2.732917972222222,9.770172638888889,3516.1000000000004,4.1006,4.064,0.013081239501054349
