H21_Cycle_Num,H21_Cycle_Life(%),H21_C_Rest_Start_Volt(V),H21_C_Rest_End_Volt(V),H21_D_Rest_Start_Volt(V),H21_D_Rest_End_Volt(V),H21_CC_Chg_Cur(A),H21_CC_Chg_Volt(V),H21_CC_Chg_CapaCity(Ah),H21_CC_Chg_Energy(Wh),H21_CC_Chg_Time(s),H21_CCCV_Chg_Cur(A),H21_CCCV_Chg_Volt(V),H21_CCCV_Chg_CapaCity(Ah),H21_CCCV_Chg_Energy(Wh),H21_CCCV_Chg_Time(s),H21_CV_Chg_Time(s),H21_CC_Dischg_Cur(A),H21_CC_Dischg_Volt(V),H21_CC_Dischg_CapaCity(Ah),H21_CC_Dischg_Energy(Wh),H21_CC_Dischg_Time(s),H21_Volt_CC_DChg_00s,H21_Volt_CC_DChg_10s,H21_Rin(ohm),DChg_IR,Chg_IR
23,98.51207628660194,4.1954,4.1861,2.7015,2.9938,2.5000999999999998,4.1976,3.9309204444444448,15.011744,5660.0,0.09996,4.1995,4.7872970666666665,18.6080896,9579.400000000001,3919.4000000000015,-5.0,2.4996,4.783818666666667,16.438223999999998,3444.4,3.9837,3.9233,0.012080000000000002,0.04047999999999998,0.4815007399704015
24,98.46409055693374,4.1954,4.1861,2.7039,2.9938,2.5000999999999998,4.1976,3.9239573333333326,14.98730311111111,5650.0,0.09986,4.1995,4.7865888000000005,18.60992,9589.6,3939.6000000000004,-5.0,2.5,4.781488444444444,16.430067555555556,3442.7000000000003,3.9825,3.9226,0.011979999999999968,0.04071999999999996,0.4815007399704015
25,98.48511348675405,4.1954,4.1858,2.6977,2.9895,2.5000999999999998,4.1989,3.92394,14.988673777777779,5650.0,0.1,4.1995,4.783781333333334,18.59957511111111,9609.900000000001,3959.9000000000015,-4.9996,2.4996,4.7825093333333335,16.43634488888889,3443.4,3.98,3.9208,0.01184094727578209,0.04116329306344516,0.4837406503739851
26,98.59014576477657,4.1958,4.1871,2.6974,2.9867,2.5003,4.1979,3.944930666666666,15.062149333333332,5680.0,0.1,4.1998,4.789977777777778,18.611088,9440.300000000001,3760.300000000001,-5.0,2.5,4.787609777777778,16.479768888888888,3447.0,3.9964,3.9316,0.012959999999999994,0.03814000000000002,0.48442186937567483
27,98.53241279076418,4.1958,4.1871,2.7098,2.987,2.5000999999999998,4.1979,3.944932888888889,15.058592,5680.0,0.1,4.1998,4.789908444444444,18.607189333333327,9442.6,3762.6000000000004,-5.0,2.5,4.784806222222223,16.467587555555554,3445.0,3.9958,3.9298,0.013199999999999967,0.03826,0.4843406263749449
28,98.38974608199676,4.1958,4.1871,2.7036,2.9935,2.5000999999999998,4.1976,3.9449195555555563,15.059029333333333,5680.0,0.1,4.1995,4.788575111111111,18.602154666666664,9400.6,3720.6000000000004,-5.0,2.4996,4.777878222222222,16.429127111111114,3440.1000000000004,3.9949,3.9273,0.013520000000000022,0.03844000000000003,0.4816207351705934
29,98.11713441999092,4.1951,4.1855,2.7123,2.9991,2.5000999999999998,4.1976,3.903096444444445,14.907308444444444,5620.0,0.1,4.1995,4.774790222222222,18.56796444444445,9663.400000000001,4043.4000000000015,-4.9996,2.5,4.76464,16.35661688888889,3430.6000000000004,3.9818,3.9161,0.013141051284102657,0.04074325946075695,0.4793808247670096
30,98.03118477526196,4.1954,4.1855,2.699,3.0,2.5000999999999998,4.1979,3.8891733333333334,14.860674666666666,5600.0,0.1,4.1992,4.766744444444445,18.54595911111111,9689.300000000001,4089.300000000001,-5.0,2.5,4.760466222222222,16.337948444444443,3427.6000000000004,3.9781,3.9149,0.01264000000000003,0.04148000000000005,0.4791408343666253
31,98.25195757157246,4.1958,4.1865,2.7027,2.9907,2.5000999999999998,4.1989,3.8961182222222224,14.892470222222222,5610.0,0.1,4.1995,4.767617777777778,18.55232888888889,9590.300000000001,3980.300000000001,-5.0,2.5,4.771187111111112,16.40995733333333,3435.2000000000003,3.9908,3.9251,0.013140000000000018,0.03913999999999991,0.48326066957321717
32,98.3222017972454,4.1958,4.1871,2.7036,2.9876,2.5003,4.1989,3.9380177777777776,15.037379555555555,5670.0,0.1,4.1995,4.776764888888889,18.55989155555556,9383.0,3713.0,-5.0,2.5,4.774598222222222,16.442266666666665,3437.6000000000004,3.9868,3.9316,0.011040000000000027,0.040059999999999985,0.48446186457625084
