H24_Cycle_Num,H24_Cycle_Life(%),H24_C_Rest_Start_Volt(V),H24_C_Rest_End_Volt(V),H24_D_Rest_Start_Volt(V),H24_D_Rest_End_Volt(V),H24_CC_Chg_Cur(A),H24_CC_Chg_Volt(V),H24_CC_Chg_CapaCity(Ah),H24_CC_Chg_Energy(Wh),H24_CC_Chg_Time(s),H24_CCCV_Chg_Cur(A),H24_CCCV_Chg_Volt(V),H24_CCCV_Chg_CapaCity(Ah),H24_CCCV_Chg_Energy(Wh),H24_CCCV_Chg_Time(s),H24_CV_Chg_Time(s),H24_CC_Dischg_Cur(A),H24_CC_Dischg_Volt(V),H24_CC_Dischg_CapaCity(Ah),H24_CC_Dischg_Energy(Wh),H24_CC_Dischg_Time(s),H24_Volt_CC_DChg_00s,H24_Volt_CC_DChg_10s,H24_Rin(ohm)
42,98.06726207574322,4.1982,4.1892,2.5626,2.8679,2.0997,4.0987,2.9629337777777778,11.043996444444444,5080.0,0.08399,4.1995,3.7655488,14.384580266666665,7652.400000000001,2582.4000000000005,-4.1994,2.4993,3.7599746666666665,13.660800888888888,3223.3,4.1291,4.0851,0.0104776872886604
43,98.08749003381836,4.1985,4.1892,2.561,2.8617,2.0995,4.0984,2.9569906666666665,11.029096888888889,5070.0,0.08399,4.1995,3.7616526222222224,14.377965511111112,7614.500000000001,2534.500000000001,-4.1994,2.5,3.760750222222222,13.675745777777777,3223.9,4.1362,4.0879,0.011501643091870111
44,98.04968867491692,4.1982,4.1892,2.5573,2.863,2.0997,4.0997,2.9628875555555556,11.050941333333334,5080.0,0.084,4.1995,3.761809422222222,14.376265955555557,7629.1,2549.1000000000004,-4.1994,2.4993,3.759300888888889,13.665239999999999,3222.7000000000003,4.1291,4.0863,0.010191932180787878
45,98.00683322448492,4.1982,4.1892,2.5632,2.8658,2.0997,4.0993,2.962882,11.05183911111111,5080.0,0.08399,4.1995,3.760705777777778,14.37217137777778,7602.8,2522.8,-4.1994,2.4996,3.7576577777777778,13.658798222222222,3221.3,4.1359,4.0863,0.011811211125399047
46,98.08903176357424,4.1985,4.1896,2.5607,2.8555,2.0997,4.0997,2.9628128888888887,11.054575999999999,5080.0,0.084,4.1998,3.7605585777777777,14.37445831111111,7590.900000000001,2500.9000000000005,-4.1997,2.5,3.760809333333333,13.688427555555556,3223.8,4.1341,4.091,0.010262637807462418
47,98.08926360263528,4.1985,4.1899,2.5601,2.8549,2.0997,4.0993,2.968808,11.069325333333333,5090.0,0.084,4.1998,3.7625173333333333,14.371650844444444,7559.000000000001,2469.000000000001,-4.1997,2.4996,3.7608182222222224,13.691245333333335,3223.8,4.1362,4.0925,0.010405505155129988
48,98.0681778400343,4.1985,4.1899,2.5604,2.8546,2.0997,4.0997,2.9687979999999996,11.069905777777779,5090.0,0.08399,4.1998,3.761743288888889,14.369136355555556,7559.900000000001,2479.9000000000005,-4.1997,2.4996,3.760009777777778,13.689032,3223.1000000000004,4.1341,4.0928,0.009834035764459287
49,97.87542684469123,4.1982,4.1889,2.561,2.8689,2.0997,4.0997,2.962971111111111,11.046451555555555,5080.0,0.08397,4.1995,3.757887644444445,14.354847288888887,7618.900000000001,2558.9000000000005,-4.1994,2.5,3.752619555555556,13.635147555555555,3217.0,4.1319,4.0854,0.011073010430061434
50,97.87288820697296,4.1985,4.1889,2.5632,2.8645,2.0995,4.0993,2.9510744444444446,11.010520888888887,5060.0,0.08399,4.1995,3.753793422222222,14.351921777777777,7649.3,2589.3,-4.1994,2.5,3.7525222222222223,13.639866666666668,3216.9,4.1288,4.0854,0.010334809734724034
51,97.83638514681324,4.1982,4.1889,2.5613,2.8658,2.0997,4.099,2.9511835555555557,11.008782222222223,5060.0,0.08398,4.1995,3.753667911111111,14.349067377777775,7644.8,2584.8,-4.1994,2.4993,3.7511226666666664,13.633470222222222,3215.7000000000003,4.131,4.0854,0.010858694099157096
52,97.80276848296344,4.1985,4.1892,2.557,2.8673,2.0997,4.0993,2.9511493333333334,11.00976711111111,5060.0,0.084,4.1995,3.7525198222222222,14.345493333333334,7636.3,2586.3,-4.1994,2.5,3.749833777777778,13.628266666666667,3214.6000000000004,4.1291,4.0851,0.0104776872886604
53,97.86188744352692,4.1982,4.1892,2.561,2.858,2.0995,4.099,2.945206888888889,10.988977777777778,5050.0,0.084,4.1995,3.7523662222222223,14.348844088888887,7648.000000000001,2578.000000000001,-4.1994,2.4993,3.752100444444444,13.649296,3216.4,4.1297,4.0879,0.009953802924227127
54,97.89753269916078,4.1985,4.1896,2.5567,2.8555,2.0997,4.0984,2.957135555555556,11.027011555555557,5070.0,0.08399,4.1995,3.7546794666666665,14.345191822222224,7560.8,2490.8,-4.1997,2.4996,3.753467111111111,13.662572444444445,3217.5,4.1322,4.091,0.009810224539848061
